t_s,i_A,i_ref_A,active
0.019030,0.000000,15.000000,0.000000
0.019032,0.000000,15.000000,0.000000
0.019034,0.000000,15.000000,0.000000
0.019036,0.000000,15.000000,0.000000
0.019038,0.000000,15.000000,0.000000
0.019040,0.000000,15.000000,0.000000
0.019042,0.000000,15.000000,0.000000
0.019044,0.000000,15.000000,0.000000
0.019046,0.000000,15.000000,0.000000
0.019048,0.000000,15.000000,0.000000
0.019050,0.000000,15.000000,0.000000
0.019052,0.000000,15.000000,0.000000
0.019054,0.000000,15.000000,0.000000
0.019056,0.000000,15.000000,0.000000
0.019058,0.000000,15.000000,0.000000
0.019060,0.000000,15.000000,0.000000
0.019062,0.000000,15.000000,0.000000
0.019064,0.000000,15.000000,0.000000
0.019066,0.000000,15.000000,0.000000
0.019068,0.000000,15.000000,0.000000
0.019070,0.000000,15.000000,0.000000
0.019072,0.000000,15.000000,0.000000
0.019074,0.000000,15.000000,0.000000
0.019076,0.000000,15.000000,0.000000
0.019078,0.000000,15.000000,0.000000
0.019080,0.000000,15.000000,0.000000
0.019082,0.000000,15.000000,0.000000
0.019084,0.000000,15.000000,0.000000
0.019086,0.000000,15.000000,0.000000
0.019088,0.000000,15.000000,0.000000
0.019090,0.000000,15.000000,0.000000
0.019092,0.000000,15.000000,0.000000
0.019094,0.000000,15.000000,0.000000
0.019096,0.000000,15.000000,0.000000
0.019098,0.000000,15.000000,0.000000
0.019100,0.000000,15.000000,0.000000
0.019102,0.000000,15.000000,0.000000
0.019104,0.000000,15.000000,0.000000
0.019106,0.000000,15.000000,0.000000
0.019108,0.000000,15.000000,0.000000
0.019110,0.000000,15.000000,0.000000
0.019112,0.000000,15.000000,0.000000
0.019114,0.000000,15.000000,0.000000
0.019116,0.000000,15.000000,0.000000
0.019118,0.000000,15.000000,0.000000
0.019120,0.000000,15.000000,0.000000
0.019122,0.000000,15.000000,0.000000
0.019124,0.000000,15.000000,0.000000
0.019126,0.000000,15.000000,0.000000
0.019128,0.000000,15.000000,0.000000
0.019130,0.000000,15.000000,0.000000
0.019132,0.000000,15.000000,0.000000
0.019134,0.000000,15.000000,0.000000
0.019136,0.000000,15.000000,0.000000
0.019138,0.000000,15.000000,0.000000
0.019140,0.000000,15.000000,0.000000
0.019142,0.000000,15.000000,0.000000
0.019144,0.000000,15.000000,0.000000
0.019146,0.000000,15.000000,0.000000
0.019148,0.000000,15.000000,0.000000
0.019150,0.000000,15.000000,0.000000
0.019152,0.000000,15.000000,0.000000
0.019154,0.000000,15.000000,0.000000
0.019156,0.000000,15.000000,0.000000
0.019158,0.000000,15.000000,0.000000
0.019160,0.000000,15.000000,0.000000
0.019162,0.000000,15.000000,0.000000
0.019164,0.000000,15.000000,0.000000
0.019166,0.000000,15.000000,0.000000
0.019168,0.000000,15.000000,0.000000
0.019170,0.000000,15.000000,0.000000
0.019172,0.000000,15.000000,0.000000
0.019174,0.000000,15.000000,0.000000
0.019176,0.000000,15.000000,0.000000
0.019178,0.000000,15.000000,0.000000
0.019180,0.000000,15.000000,0.000000
0.019182,0.000000,15.000000,0.000000
0.019184,0.000000,15.000000,0.000000
0.019186,0.000000,15.000000,0.000000
0.019188,0.000000,15.000000,0.000000
0.019190,0.000000,15.000000,0.000000
0.019192,0.000000,15.000000,0.000000
0.019194,0.000000,15.000000,0.000000
0.019196,0.000000,15.000000,0.000000
0.019198,0.000000,15.000000,0.000000
0.019200,0.000000,15.000000,0.000000
0.019202,0.000000,15.000000,0.000000
0.019204,0.000000,15.000000,0.000000
0.019206,0.000000,15.000000,0.000000
0.019208,0.000000,15.000000,0.000000
0.019210,0.000000,15.000000,0.000000
0.019212,0.000000,15.000000,0.000000
0.019214,0.000000,15.000000,0.000000
0.019216,0.000000,15.000000,0.000000
0.019218,0.000000,15.000000,0.000000
0.019220,0.000000,15.000000,0.000000
0.019222,0.000000,15.000000,0.000000
0.019224,0.000000,15.000000,0.000000
0.019226,0.000000,15.000000,0.000000
0.019228,0.000000,15.000000,0.000000
0.019230,0.000000,15.000000,0.000000
0.019232,0.000000,15.000000,0.000000
0.019234,0.000000,15.000000,0.000000
0.019236,0.000000,15.000000,0.000000
0.019238,0.000000,15.000000,0.000000
0.019240,0.000000,15.000000,0.000000
0.019242,0.000000,15.000000,0.000000
0.019244,0.000000,15.000000,0.000000
0.019246,0.000000,15.000000,0.000000
0.019248,0.000000,15.000000,0.000000
0.019250,0.000000,15.000000,0.000000
0.019252,0.000000,15.000000,0.000000
0.019254,0.000000,15.000000,0.000000
0.019256,0.000000,15.000000,0.000000
0.019258,0.000000,15.000000,0.000000
0.019260,0.000000,15.000000,0.000000
0.019262,0.000000,15.000000,0.000000
0.019264,0.000000,15.000000,0.000000
0.019266,0.000000,15.000000,0.000000
0.019268,0.000000,15.000000,0.000000
0.019270,0.000000,15.000000,0.000000
0.019272,0.000000,15.000000,0.000000
0.019274,0.000000,15.000000,0.000000
0.019276,0.000000,15.000000,0.000000
0.019278,0.000000,15.000000,0.000000
0.019280,0.000000,15.000000,0.000000
0.019282,0.000000,15.000000,0.000000
0.019284,0.000000,15.000000,0.000000
0.019286,0.000000,15.000000,0.000000
0.019288,0.000000,15.000000,0.000000
0.019290,0.000000,15.000000,0.000000
0.019292,0.000000,15.000000,0.000000
0.019294,0.000000,15.000000,0.000000
0.019296,0.000000,15.000000,0.000000
0.019298,0.000000,15.000000,0.000000
0.019300,0.000000,15.000000,0.000000
0.019302,0.000000,15.000000,0.000000
0.019304,0.000000,15.000000,0.000000
0.019306,0.000000,15.000000,0.000000
0.019308,0.000000,15.000000,0.000000
0.019310,0.000000,15.000000,0.000000
0.019312,0.000000,15.000000,0.000000
0.019314,0.000000,15.000000,0.000000
0.019316,0.000000,15.000000,0.000000
0.019318,0.000000,15.000000,0.000000
0.019320,0.000000,15.000000,0.000000
0.019322,0.000000,15.000000,0.000000
0.019324,0.000000,15.000000,0.000000
0.019326,0.000000,15.000000,0.000000
0.019328,0.000000,15.000000,0.000000
0.019330,0.000000,15.000000,0.000000
0.019332,0.000000,15.000000,0.000000
0.019334,0.000000,15.000000,0.000000
0.019336,0.000000,15.000000,0.000000
0.019338,0.000000,15.000000,0.000000
0.019340,0.000000,15.000000,0.000000
0.019342,0.000000,15.000000,0.000000
0.019344,0.000000,15.000000,0.000000
0.019346,0.000000,15.000000,0.000000
0.019348,0.000000,15.000000,0.000000
0.019350,0.000000,15.000000,0.000000
0.019352,0.000000,15.000000,0.000000
0.019354,0.000000,15.000000,0.000000
0.019356,0.000000,15.000000,0.000000
0.019358,0.000000,15.000000,0.000000
0.019360,0.000000,15.000000,0.000000
0.019362,0.000000,15.000000,0.000000
0.019364,0.000000,15.000000,0.000000
0.019366,0.000000,15.000000,0.000000
0.019368,0.000000,15.000000,0.000000
0.019370,0.000000,15.000000,0.000000
0.019372,0.000000,15.000000,0.000000
0.019374,0.000000,15.000000,0.000000
0.019376,0.000000,15.000000,0.000000
0.019378,0.000000,15.000000,0.000000
0.019380,0.000000,15.000000,0.000000
0.019382,0.000000,15.000000,0.000000
0.019384,0.000000,15.000000,0.000000
0.019386,0.000000,15.000000,0.000000
0.019388,0.000000,15.000000,0.000000
0.019390,0.000000,15.000000,0.000000
0.019392,0.000000,15.000000,0.000000
0.019394,0.000000,15.000000,0.000000
0.019396,0.000000,15.000000,0.000000
0.019398,0.000000,15.000000,0.000000
0.019400,0.000000,15.000000,0.000000
0.019402,0.000000,15.000000,0.000000
0.019404,0.000000,15.000000,0.000000
0.019406,0.000000,15.000000,0.000000
0.019408,0.000000,15.000000,0.000000
0.019410,0.000000,15.000000,0.000000
0.019412,0.000000,15.000000,0.000000
0.019414,0.000000,15.000000,0.000000
